epoch,train_loss,train_mae,train_rmse,train_corr,val_loss,val_mae,val_rmse,val_corr
1,1873.037458544922,34.34196853637695,43.27858352661133,0.007233292371215738,521.1952201660156,18.149431228637695,22.829708099365234,0.000317375481676297
2,467.61917873535157,16.775653839111328,21.62449836730957,0.33551493176499664,315.26261137695315,13.598732948303223,17.755630493164062,0.6577558849860012
3,291.25538459472654,13.011919021606445,17.066204071044922,0.6672533397672284,272.6170744628906,12.677087783813477,16.511117935180664,0.6917480746595185
4,274.57141540527346,12.647758483886719,16.570199966430664,0.6888791472949961,264.7411969482422,12.587892532348633,16.2708740234375,0.7027694118823794
5,267.61049072265627,12.498512268066406,16.35880470275879,0.6984022675704273,260.6201932861328,12.522974967956543,16.14373016357422,0.7106948805525196
6,264.01470711669924,12.403128623962402,16.24852752685547,0.7032740672566715,262.9911427978516,12.554558753967285,16.217002868652344,0.7074891213640795
7,259.1732091430664,12.284893035888672,16.098848342895508,0.7098278812556629,249.40653039550782,12.20380973815918,15.792606353759766,0.7224974764232395
8,256.113492956543,12.202836036682129,16.003551483154297,0.7139175526028857,247.23260366210937,12.136873245239258,15.723630905151367,0.7249090020499326
9,253.42998212890626,12.138777732849121,15.919486045837402,0.717526562531796,251.35008681640625,12.320886611938477,15.854024887084961,0.7252871692076499
10,252.08728383789062,12.102170944213867,15.877274513244629,0.7192987654055515,248.41997006835936,12.197222709655762,15.761337280273438,0.7268455672662746
11,248.41276785888672,12.015352249145508,15.761114120483398,0.7241553101378848,246.82171064453124,12.17298412322998,15.710565567016602,0.7308407056278327
12,247.12851842041016,11.97060489654541,15.720318794250488,0.7258544059994464,237.8236787841797,11.866199493408203,15.421529769897461,0.7371865249602373
13,244.55479251708985,11.913473129272461,15.638239860534668,0.7292469286844785,238.85371629638672,11.81547737121582,15.454893112182617,0.7370662949330135
14,242.37705603027345,11.844026565551758,15.568470001220703,0.7320931908360576,238.18768364257812,11.924555778503418,15.433328628540039,0.7382910070414699
15,240.94983071289062,11.810870170593262,15.522566795349121,0.7339749939478882,240.62256379394532,11.795937538146973,15.51201343536377,0.7399785488280545
16,238.59677858886718,11.75049877166748,15.446575164794922,0.7370174390252896,251.35380031738282,11.987460136413574,15.854143142700195,0.7411712632509047
17,237.53101551513672,11.722088813781738,15.412041664123535,0.738425175670262,229.80179301757812,11.692276954650879,15.159214973449707,0.7491462105190594
18,234.4354969116211,11.643885612487793,15.311300277709961,0.7424018537681174,232.07013548583984,11.626333236694336,15.233848571777344,0.7478646166363745
19,233.12226810302735,11.604740142822266,15.268346786499023,0.7440945505100219,230.10884990234376,11.548487663269043,15.16933536529541,0.7490063161404543
20,231.24645490722656,11.558104515075684,15.206795692443848,0.7465084708688611,227.63174853515625,11.638819694519043,15.08747386932373,0.7532793115574429
