epoch,lr,train_loss,train_mae,train_rmse,train_corr,val_loss,val_mae,val_rmse,val_corr
1,0.0005,829.8503384765625,20.528871536254883,28.807104110717773,0.26255809818960124,283.7533497802734,13.138994216918945,16.844980239868164,0.6809671878298587
2,0.0005,271.88124122070315,12.617520332336426,16.488840103149414,0.691073642731352,260.6902702392578,12.405129432678223,16.145904541015625,0.7068435470073406
3,0.0005,259.8431999951172,12.32505989074707,16.119653701782227,0.7075895150405503,245.19853962402343,11.998013496398926,15.65882396697998,0.7275878858075534
4,0.0005,251.86375876464842,12.121755599975586,15.870219230651855,0.7183218916143664,246.49159470214843,11.905538558959961,15.700050354003906,0.7347240137594963
5,0.0005,247.51720399414063,12.018869400024414,15.732669830322266,0.7241155633450123,235.54396015625,11.73910140991211,15.34743881225586,0.7412840007922344
6,0.0005,242.94921979003905,11.894769668579102,15.586851119995117,0.730151137825612,234.66334077148437,11.748368263244629,15.318727493286133,0.7430840048846971
7,0.0005,239.24708830078126,11.788069725036621,15.467594146728516,0.7350024741506765,228.21269836425782,11.52145004272461,15.106712341308594,0.7508714013799879
8,0.0005,236.12212059570314,11.698265075683594,15.36624526977539,0.7390811054553582,229.30427993164062,11.58577823638916,15.142793655395508,0.7501536111440822
9,0.0005,232.86874338378905,11.61917495727539,15.260054588317871,0.7432999698301104,224.59764030761718,11.379337310791016,14.986578941345215,0.7569894881208704
10,0.0005,229.57423380371094,11.527477264404297,15.15170955657959,0.7475406498190589,223.55665467529298,11.327154159545898,14.951811790466309,0.7622517663254823
11,0.0005,227.4553268066406,11.463207244873047,15.081619262695312,0.7502622400934249,220.92706826171874,11.266460418701172,14.863617897033691,0.761390417410862
12,0.0005,224.87373780273438,11.396833419799805,14.995800971984863,0.7535577743570223,214.17237963867188,11.171832084655762,14.634629249572754,0.7675578396657886
13,0.0005,222.0292579638672,11.304805755615234,14.900652885437012,0.7571826580301644,213.37031748046874,11.035457611083984,14.607202529907227,0.7712222218180232
14,0.0005,218.61487530273436,11.203900337219238,14.785626411437988,0.7615012006372626,214.11736354980468,11.122296333312988,14.63275146484375,0.7679662814235968
15,0.0005,216.1175662548828,11.139755249023438,14.700925827026367,0.7646439715569796,206.8574463623047,10.873112678527832,14.382539749145508,0.7790890137106471
