epoch,train_loss,val_loss,val_mae,val_corr
1,1913.699619140625,521.1857482421875,18.149730682373047,0.0003167706546206503
2,452.26606994628906,308.6252406005859,13.377148628234863,0.6582532674156898
3,291.88566340332034,277.36755313720704,12.729259490966797,0.6874275490421258
4,277.326066796875,264.0662414794922,12.45592212677002,0.7037023075442446
5,269.5435512939453,260.3419056152344,12.369125366210938,0.7093514684356118
6,264.4090111572266,252.85736596679686,12.251322746276855,0.7176914740307051
7,260.1453969238281,256.1994239501953,12.225420951843262,0.7187925708333044
8,258.11506884765623,255.50943276367187,12.336382865905762,0.7146612261325126
9,255.15008225097657,245.21270583496093,12.022576332092285,0.7276314097510141
10,253.61417360839843,246.71017583007813,12.037720680236816,0.7277207347249401
11,249.19701174316407,242.93201701660155,12.038904190063477,0.7317451059086157
12,247.64962202148436,241.71578623046875,12.027119636535645,0.7345946086401205
13,245.55018009033202,242.2677966064453,11.915112495422363,0.7337762329830004
14,243.3514741455078,237.2696111328125,11.866158485412598,0.7394103206624468
15,241.8997001220703,237.89925632324218,11.89739990234375,0.7382782106064497
16,238.70555717773436,239.32661953125,11.955324172973633,0.7396807723561816
17,238.66203142089844,236.54830446777345,11.811724662780762,0.7388966828843355
18,235.22324405517577,233.6339115234375,11.694276809692383,0.7445664513192242
19,234.19942116699218,235.48773038330077,11.676725387573242,0.7477660882302365
20,231.51409536132812,228.75466123046874,11.536506652832031,0.7519273306221457
21,230.3047825073242,229.45583247070311,11.672636985778809,0.7503051067878995
22,228.29911689453124,226.07082545166017,11.41362476348877,0.7557534423835692
23,226.9874859375,227.31473686523438,11.631617546081543,0.7529306619312778
24,224.73112716064452,226.81568439941407,11.66120433807373,0.7594347143433384
25,223.39600769042968,224.0879890625,11.454729080200195,0.7549949548171344
26,220.7031966430664,236.76454282226564,11.589807510375977,0.7575666693200666
27,219.72677673339842,224.71552810058594,11.436223030090332,0.7566169287847122
28,215.97941978759766,215.8848854736328,11.197022438049316,0.7655145520280805
29,213.0974192138672,221.96253681640624,11.241028785705566,0.7649471616898406
30,212.74762106933593,213.7484547607422,11.124109268188477,0.7695996082064871
